id,created_at,original_text,neg,neu,pos,compound,neg,neu,pos,compound
ID000128,2020-04-19,president peddling untested drugs treatment hydroxychloroquine survive,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000129,2020-04-19,kchristidis terribly long wait imagine heavily impacted,0.375,0.625,0.0,-0.5574,0.375,0.625,0.0,-0.5574
ID000130,2020-04-19,brunswicks judy persichilli leads battle,0.394,0.606,0.0,-0.3818,0.394,0.606,0.0,-0.3818
ID000131,2020-04-19,justice department seeks illegal online sale industrial bleach marketed miracle treatment ge,0.182,0.455,0.364,0.5574,0.182,0.455,0.364,0.5574
ID000132,2020-04-19,antivaxxers media stories debunk falsities agenda,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000133,2020-04-19,truth americas response latest oped published washington times,0.0,0.753,0.247,0.3182,0.0,0.753,0.247,0.3182
ID000134,2020-04-19,tomorrow brings day forget governments abject failure early grip coronavirus 56,0.366,0.634,0.0,-0.6369,0.366,0.634,0.0,-0.6369
ID000135,2020-04-19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID000136,2020-04-19,follow science chris deerin yellow brick road mismanagement 19 lack accoun,0.187,0.813,0.0,-0.3182,0.187,0.813,0.0,-0.3182
ID000137,2020-04-19,humongous stories weekend boris johnson speech promoting profiteering boris johnson,0.132,0.661,0.207,0.2263,0.132,0.661,0.207,0.2263
ID000138,2020-04-19,people die coronavirus africa spread contained report warns officials,0.431,0.569,0.0,-0.6486,0.431,0.569,0.0,-0.6486
ID000139,2020-04-19,family member lead tech testing hospital san diego performed thousands,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000140,2020-04-19,alert class 2020 student athletes ncaa waiving satact scores class 2020,0.0,0.82,0.18,0.296,0.0,0.82,0.18,0.296
ID000141,2020-04-19,nhannahjones striking protests emerged time clear,0.224,0.471,0.306,0.1779,0.224,0.471,0.306,0.1779
ID000142,2020-04-19,strong female governor takes stand gov kristi noem vows south dakota open public enemy 1,0.186,0.638,0.176,-0.0516,0.186,0.638,0.176,-0.0516
ID000143,2020-04-19,pandemics demand democratic publicity social media spectacles article thewirein chronicle quoti,0.13,0.87,0.0,-0.128,0.13,0.87,0.0,-0.128
ID000144,2020-04-19,guardian president trumps fault failing protect endangered species china,0.411,0.411,0.178,-0.5267,0.411,0.411,0.178,-0.5267
ID000145,2020-04-19,tested test negative started,0.552,0.448,0.0,-0.5719,0.552,0.448,0.0,-0.5719
ID000146,2020-04-19,absolutely nerves undermining boris gvt trust boris johnson,0.35,0.392,0.258,-0.0442,0.35,0.392,0.258,-0.0442
ID000147,2020-04-19,2013 dr fauci praised hcq promising mers virus trump,0.0,0.543,0.457,0.7096,0.0,0.543,0.457,0.7096
ID000148,2020-04-19,bernards twp basking ridge man charged violating emergency orders pande,0.53,0.47,0.0,-0.7845,0.53,0.47,0.0,-0.7845
ID000149,2020-04-19,dnpthree ill 5000 total 50 people 100 retweet 5 hours,0.259,0.741,0.0,-0.4215,0.259,0.741,0.0,-0.4215
ID000150,2020-04-19,epidemiologists britta nicholas jewell suggests 90 percent deaths united st,0.0,0.763,0.237,0.4215,0.0,0.763,0.237,0.4215
ID000151,2020-04-19,suggests people black asian minority ethnic backgrounds greater risk beco,0.167,0.635,0.198,0.1027,0.167,0.635,0.198,0.1027
ID000152,2020-04-19,1969 year released stands halfway 191819 fl,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000153,2020-04-19,hold leaders accountable keeping berniesanders aoc rokhanna rashidatlaib ilhanmn,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000154,2020-04-19,princess sofia sweden medical assistant fight vogue,0.302,0.698,0.0,-0.3818,0.302,0.698,0.0,-0.3818
ID000155,2020-04-19,guess trump chose committee reviving restaurants mother jones,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000156,2020-04-19,teamgivingcom teampulte laid parents job hard,0.219,0.781,0.0,-0.1027,0.219,0.781,0.0,-0.1027
ID000157,2020-04-19,ekiti extend lockdown fayemi,0.0,0.638,0.362,0.1779,0.0,0.638,0.362,0.1779
ID000158,2020-04-19,recovered patient donates,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000159,2020-04-19,increasing number south koreas recovered patients 163 2 countrys total isol,0.0,0.874,0.126,0.0772,0.0,0.874,0.126,0.0772
ID000160,2020-04-19,speakerpelosi thebeatwithari dereliction speaker lies job biach 4 tests increased tes,0.217,0.62,0.163,-0.1779,0.217,0.62,0.163,-0.1779
ID000161,2020-04-19,outbreak nigeria governments opened isolation centres care coronavi,0.227,0.504,0.269,0.128,0.227,0.504,0.269,0.128
ID000162,2020-04-19,pqzi gzvv rmuc ljbr oxpu bgfv jfry xcpk roct dsjx lkon cdtv prior jorge babu manu foraprior david,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000163,2020-04-19,pick festival attend choose edc,0.0,0.556,0.444,0.4939,0.0,0.556,0.444,0.4939
ID000164,2020-04-19,flashback chief scientist lied public safety vaccines admitting closed doors,0.194,0.597,0.209,0.0516,0.194,0.597,0.209,0.0516
ID000165,2020-04-19,fun math killed 0000069 americans york city killed 0000039,0.492,0.328,0.18,-0.7717,0.492,0.328,0.18,-0.7717
ID000166,2020-04-19,tinakalinen skyecity hardeep216 karltrotsky chelleryn99 tisy47 soopagaz dsue1441re dylanstrain awakenunite,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000167,2020-04-19,ladygaga celinedion andreabocelli langlang johnlegends incredible final performanc,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000168,2020-04-19,realdonaldtrump question sets shelter place testing standard,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000169,2020-04-19,york testing thousands residents week antibodies gov andrew cuomo,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000170,2020-04-19,book arrived planet earth days bit bumpy ride,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000171,2020-04-19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID000172,2020-04-19,trumpsugar calijeff1 persevereever notthehun1 digivorr adamwinge tomag49 dancesfacts rightinca,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000173,2020-04-19,sycophant senator touts nonexistent psychic powers republican claims trump foreshadowed coronavirus,0.099,0.901,0.0,-0.0258,0.099,0.901,0.0,-0.0258
ID000174,2020-04-19,sweden germany switzerland thinking axis rationality,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
