id,created_at,original_text,neg,neu,pos,compound,neg.1,neu.1,pos.1,compound.1,neg.2,neu.2,pos.2,compound.2,neg,neu,pos,compound
ID000059,2020-06-01,sources florida football voluntary workouts june 1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000060,2020-06-01,president framed war health calamity requiring scientific cons,0.358,0.642,0.0,-0.5994,0.358,0.642,0.0,-0.5994,0.358,0.642,0.0,-0.5994,0.358,0.642,0.0,-0.5994
ID000061,2020-06-01,doh report backlog data days lowers,0.231,0.769,0.0,-0.128,0.231,0.769,0.0,-0.128,0.231,0.769,0.0,-0.128,0.231,0.769,0.0,-0.128
ID000062,2020-06-01,kbangyeol entails mixed feelings koreas response amp satirical war,0.328,0.672,0.0,-0.5994,0.328,0.672,0.0,-0.5994,0.328,0.672,0.0,-0.5994,0.328,0.672,0.0,-0.5994
ID000063,2020-06-01,doh reports 552 cases 119 fresh 433 late 3 deaths 70 recoveries brings totals 186,0.0,0.85,0.15,0.3182,0.0,0.85,0.15,0.3182,0.0,0.85,0.15,0.3182,0.0,0.85,0.15,0.3182
ID000064,2020-06-01,cmoodisha humbly request govt leave migrants quarantine testing swab fo,0.118,0.882,0.0,-0.0516,0.118,0.882,0.0,-0.0516,0.118,0.882,0.0,-0.0516,0.118,0.882,0.0,-0.0516
ID000065,2020-06-01,federal govt hands battle,0.464,0.536,0.0,-0.3818,0.464,0.536,0.0,-0.3818,0.464,0.536,0.0,-0.3818,0.464,0.536,0.0,-0.3818
ID000066,2020-06-01,clarkemicah oddbod6 estimating forecasting attack rates mortality nonpharmaceut,0.307,0.693,0.0,-0.4767,0.307,0.693,0.0,-0.4767,0.307,0.693,0.0,-0.4767,0.307,0.693,0.0,-0.4767
ID000067,2020-06-01,powerful accounts doctors encountering supporting people dying clear legacy,0.0,0.42,0.58,0.8074,0.0,0.42,0.58,0.8074,0.0,0.42,0.58,0.8074,0.0,0.42,0.58,0.8074
ID000068,2020-06-01,news google expands tools businesses impacted techcrunch,0.0,0.811,0.189,0.1027,0.0,0.811,0.189,0.1027,0.0,0.811,0.189,0.1027,0.0,0.811,0.189,0.1027
ID000069,2020-06-01,difficulty acquiring life sustaining medicine,0.375,0.625,0.0,-0.34,0.375,0.625,0.0,-0.34,0.375,0.625,0.0,-0.34,0.375,0.625,0.0,-0.34
ID000070,2020-06-01,killer cop derek chauvin moved facility safety,0.355,0.413,0.231,-0.3612,0.355,0.413,0.231,-0.3612,0.355,0.413,0.231,-0.3612,0.355,0.413,0.231,-0.3612
ID000071,2020-06-01,blog experts assess effects amp responses covering 1 emmasamman 2 prim,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000072,2020-06-01,items resource amp damianmaye weekend,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000073,2020-06-01,yeah wont spread muslimish human bodies,0.0,0.694,0.306,0.296,0.0,0.694,0.306,0.296,0.0,0.694,0.306,0.296,0.0,0.694,0.306,0.296
ID000074,2020-06-01,talking yoga north medicinal current situati,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000075,2020-06-01,icymi nigerias cases exceed 10000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000076,2020-06-01,protests george floyd titanic struck iceberg 911,0.438,0.562,0.0,-0.4404,0.438,0.562,0.0,-0.4404,0.438,0.562,0.0,-0.4404,0.438,0.562,0.0,-0.4404
ID000077,2020-06-01,indepth analysis impact global antiseize compounds market 2020 2030,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000078,2020-06-01,brought sales brands return normality throw,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000079,2020-06-01,45yearold shopian patient dies jampk death toll reaches 29,0.322,0.579,0.099,-0.5719,0.322,0.579,0.099,-0.5719,0.322,0.579,0.099,-0.5719,0.322,0.579,0.099,-0.5719
ID000080,2020-06-01,russia registered drug treat coronavirus highly effective version japane,0.0,0.535,0.465,0.7264,0.0,0.535,0.465,0.7264,0.0,0.535,0.465,0.7264,0.0,0.535,0.465,0.7264
ID000081,2020-06-01,excited secretary education digital culture media sport nickymorgan01,0.0,0.745,0.255,0.34,0.0,0.745,0.255,0.34,0.0,0.745,0.255,0.34,0.0,0.745,0.255,0.34
ID000082,2020-06-01,weeks averaged 22089 diagnosed cases 1118 deaths day cases,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000083,2020-06-01,scotland eases lockdown restrictions moves phase 1 updated guidance relation walking,0.0,0.796,0.204,0.3182,0.0,0.796,0.204,0.3182,0.0,0.796,0.204,0.3182,0.0,0.796,0.204,0.3182
ID000084,2020-06-01,bahai zoroastrians jews jains keeping faith singapore,0.0,0.682,0.318,0.4215,0.0,0.682,0.318,0.4215,0.0,0.682,0.318,0.4215,0.0,0.682,0.318,0.4215
ID000085,2020-06-01,single magic bullet treatment proposes cocktail drugs fight disease read,0.224,0.776,0.0,-0.3818,0.224,0.776,0.0,-0.3818,0.224,0.776,0.0,-0.3818,0.224,0.776,0.0,-0.3818
ID000086,2020-06-01,disease incurable disease careful safe thetea,0.0,0.471,0.529,0.5423,0.0,0.471,0.529,0.5423,0.0,0.471,0.529,0.5423,0.0,0.471,0.529,0.5423
ID000087,2020-06-01,social distancing amp selfisolation exacerbates social isolation amp loneliness experienced core members continue,0.333,0.667,0.0,-0.6705,0.333,0.667,0.0,-0.6705,0.333,0.667,0.0,-0.6705,0.333,0.667,0.0,-0.6705
ID000088,2020-06-01,volunteer social worker lorraine moko nurses tested positive thrown facilit,0.0,0.714,0.286,0.5574,0.0,0.714,0.286,0.5574,0.0,0.714,0.286,0.5574,0.0,0.714,0.286,0.5574
ID000089,2020-06-01,post 19 nigeria church human resource financial resources catch game,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000090,2020-06-01,symptoms good excuse free pass assignments,0.0,0.286,0.714,0.7579,0.0,0.286,0.714,0.7579,0.0,0.286,0.714,0.7579,0.0,0.286,0.714,0.7579
ID000091,2020-06-01,theteampatriot shahnazashifa coronacovid19 virus spreading community rapidl,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000092,2020-06-01,join webinar 4 june focusing prevention drugrelated problems,0.273,0.505,0.222,-0.128,0.273,0.505,0.222,-0.128,0.273,0.505,0.222,-0.128,0.273,0.505,0.222,-0.128
ID000093,2020-06-01,essential estate planning package,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000094,2020-06-01,2we urged good ambassadors stateamp partners efforts govtofimostate protecting,0.0,0.734,0.266,0.4404,0.0,0.734,0.266,0.4404,0.0,0.734,0.266,0.4404,0.0,0.734,0.266,0.4404
ID000095,2020-06-01,105000 dead 17 diagnosed infected,0.714,0.286,0.0,-0.8176,0.714,0.286,0.0,-0.8176,0.714,0.286,0.0,-0.8176,0.714,0.286,0.0,-0.8176
ID000096,2020-06-01,coronavirus latest sends 2 doses hydroxychloroquine brazil pandemic killed,0.391,0.609,0.0,-0.6705,0.391,0.609,0.0,-0.6705,0.391,0.609,0.0,-0.6705,0.391,0.609,0.0,-0.6705
ID000097,2020-06-01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID000098,2020-06-01,elections controversial pension qualification age raising 67 years decemb,0.184,0.816,0.0,-0.2023,0.184,0.816,0.0,-0.2023,0.184,0.816,0.0,-0.2023,0.184,0.816,0.0,-0.2023
