id,created_at,original_text
ID000235,2020-04-19,prison cases puts marion county confirmed cases ohio county
ID000236,2020-04-19,cuomo takes charge governor center deadly crisis response helped guide nation
ID000237,2020-04-19,wow nyt printed piece blamed fox news death ny bar owner cruise 31 ba
ID000238,2020-04-19,3 1 month death rate 1221 remaining 11 months 3001m
ID000239,2020-04-19,dc lobbyists raking cash crisis raw story
ID000240,2020-04-19,govt support ghanaian scientists develop vaccines
ID000241,2020-04-19,obesity biggest risk factors
ID000242,2020-04-19,sacrificing mlb team team choose cardinals
ID000243,2020-04-19,80yearold man tested positive promise daughter damn virus wasnt
ID000244,2020-04-19,nyc told 5 years deblasio blood hands po ramos po liu assassinated 5 years 7900
ID000245,2020-04-19,prof hugh montgomery explains stay flu pass 13 10 cycles
ID000246,2020-04-19,track fight user hwf donating meal feedingamerica 28081
ID000247,2020-04-19,634 employees pork processing plant south dakota tested positive workers company
ID000248,2020-04-19,terrifying 1800 inmates ohio correctional facility test positive
ID000249,2020-04-19,rt preorder phonecase strap periode 1904 305 2 weeks price 30k custom fandom
ID000250,2020-04-19,wave imminent tragic healthcare workers battle weeks men
ID000251,2020-04-19,sudden cases appearing meat packing plants suddenly coronavirus outbreaks
ID000252,2020-04-19,led albertas biggest outbreak cargill meat plants hundreds cases
ID000253,2020-04-19,autotrader start deal online car delivered door local delivery
ID000254,2020-04-19,gary fowler detroit emergency rooms begging breathe turned
ID000255,2020-04-19,join monday april 20 2020 1110 pt 210 pm farmworkerjustice presents facebook live series
ID000256,2020-04-19,stimes revelations viral pardon pun irrefutable concrete evidence pm boj
ID000257,2020-04-19,breaking adjusted population deaths fatalities western european cou
ID000258,2020-04-19,denzdejz spreading 2 factors 1 dense population 2 dense population
ID000259,2020-04-19,cognitive dissonance reducing selfexempting rationalisations isolation breachers favou
ID000260,2020-04-19,sampaloc manila lockdown district number confirmed cases city 98
ID000261,2020-04-19,nations businesses sought financial aid weeks prior 306 fund cbc news
ID000262,2020-04-19,launched online residents report issues noncompliance including individu
ID000263,2020-04-19,chief antonio guterres salutes india helping 55 coronavirushit countries sending hydroxychloroquine ot
ID000264,2020-04-19,president takes 2 qtips briefing today
ID000265,2020-04-19,police raids syracuse mosque continues holding daily prayers lockdown christians threatened
ID000266,2020-04-19,tedlieu presssec 10 testing county usa 33 people tested
ID000267,2020-04-19,disappointed obama proper 19 tests 3 years trumps presid
ID000268,2020-04-19,hundreds cases cargill meat plant high river alberta employees worked elbowtoe
ID000269,2020-04-19,thousands israelis brave health risks protest netanyahu mendesonca rodaped
ID000270,2020-04-19,leaving mittromney rep senators panel sign
ID000271,2020-04-19,dont barca president
ID000272,2020-04-19,lagos decided create test centers lgs cases discovered today sign
ID000273,2020-04-19,argentina showing humane response thenation
ID000274,2020-04-19,view canadas laurentian elite time lay blame pandemic foot
ID000275,2020-04-19,local government units province ilocos sur imposed liquor ban april enhanced communi
ID000276,2020-04-19,live lagos robbed government loss lagosians facing wor
ID000277,2020-04-19,expensive scarce kits wasted stupidity positive 19
ID000278,2020-04-19,la estimacin del acumulado casos positivos era 1069 la realidad 1035
ID000279,2020-04-19,thanking doctors nurses thanking
ID000280,2020-04-19,
ID000281,2020-04-19,ayemojubar lost 3 healthcare workers dr emeka drpt otegbeye dr aminuyet
ID000282,2020-04-19,fight team invistas kingston ontario facility producing nylon 66 bei
ID000283,2020-04-19,
ID000284,2020-04-19,point fighting pandemics american stupidity
ID000285,2020-04-19,kappasigmahq hope mandatory 10 person limit gatherings members role
ID000286,2020-04-19,releasing criminals protect simultaneously arresting free people exercising thei
ID000287,2020-04-19,north face responders discount
ID000288,2020-04-19,brooklyn hospital center hospitals testing convalescent plasma theory plasma recov
ID000289,2020-04-19,common conversations businesses time
ID000290,2020-04-19,toll impossible 7300 people living longterm care died
ID000291,2020-04-19,comparing response uk figures bad fine bit
ID000292,2020-04-19,1 trump lies lot lies catching trusted info becau
ID000293,2020-04-19,getmejames timcast nyc comparison flu influenza deaths 7607 14167 100
ID000294,2020-04-19,tests proportion population selected country rankings 1 iceland 12 10 norway 25 18 italy 2
ID000295,2020-04-19,participating asianreadathon month great list released books asian authors
ID000296,2020-04-19,sergio aguero doctor star jodie whittaker eastenders actor danny dyer famous faces leading le
ID000297,2020-04-19,emergency doctor hussein al abbasi resorted sleeping car told leave share house fears
ID000298,2020-04-19,cuomo takes charge governor center deadly crisis response helped guide
ID000299,2020-04-19,bsonenstein patients rikers tylenol
ID000300,2020-04-19,screening sufficient based standards dghisham considers testing sufficient 10 po
ID000301,2020-04-19,joe biden win wyoming democratic primary abc news projects based analysis vote wyoming demo
ID000302,2020-04-19,tonight symonedsanders actor tonygoldwyn hosting town hall focused impacting workers
ID000303,2020-04-19,race religion colour caste creed language borders striking response conduct
ID000304,2020-04-19,episode lost month february lefts narrative response
