id,created_at,original_text
ID000353,2020-06-01,103yearold woman celebrates beating covid19 cold beer
ID000354,2020-06-01,understanding supporter behaviour result covid19 crucial navigate
ID000355,2020-06-01,dear friends attention green partners farm trading whales energy ventures reneged
ID000356,2020-06-01,died police brutality kenya covid 19 police messing minds ci
ID000357,2020-06-01,good news day leader tested positive weeks wa
ID000358,2020-06-01,tanyatavi hertsacs dacorum op peer group stuck hra covid19 challenges
ID000359,2020-06-01,american policing stuck racism rife britain police observed peel principles
ID000360,2020-06-01,modi govt strengthened medical infrastructure ensured medical equipments medicines amp treatment covid1
ID000361,2020-06-01,records 28 cases case death
ID000362,2020-06-01,tina patel irene karidas discuss risks involved buying beauty products online diy treatments hom
ID000363,2020-06-01,2020 45th anniversary expecting avw delighted
ID000364,2020-06-01,pace covid19 ongoing coronavirus outbreak astonishing inevitable
ID000365,2020-06-01,ukbronco pummster berniegarbett johnstapletontv 1 zealand total lockdown deaths 2 evidenc
ID000366,2020-06-01,dis period god answering prayers coffin makers
ID000367,2020-06-01,todays belgium covid19 figures 807 hospital yday 821 163 icu yday 168 19 fatalities yday 14 al
ID000368,2020-06-01,talk sample bias researchers sending 15minute survey gauge impact covid19
ID000369,2020-06-01,sikora bbcbreakfast relevant expertise covid19 screening guests lib
ID000370,2020-06-01,samsung add memory chip south korea covid19 boosts demand
ID000371,2020-06-01,weekly talkshow urgent spotlight strengthening malaysian health post covid19 2 june 2020 tuesd
ID000372,2020-06-01,understand consequences energy join chief energy modeller lauracozzi
ID000373,2020-06-01,private hospitals complaining revenue loss covid19 max healthcare emerged
ID000374,2020-06-01,45yearold shopian covid19 patient dies jampk toll 29 srinagar june 1 day 45yearold man sho
ID000375,2020-06-01,uk government longer telling people tested day total test number wh
ID000376,2020-06-01,266 month 12 yr update sensex trailing pe 195x 2020 188x april 2020
ID000377,2020-06-01,nsuipunjab urged universities promote students courses wake uncertainty prevailing stud
ID000378,2020-06-01,president uhuru speaks covid19 jubilee bbi interview
ID000379,2020-06-01,2020 kangaroos tour cancelled covid19 pandemic details
ID000380,2020-06-01,companies developed plasma bot recovered covid19 patients donate plasma thi
ID000381,2020-06-01,covid19 update 79 days romanian couple confirmed cases country recovered
ID000382,2020-06-01,save spot 7 search shape
ID000383,2020-06-01,government experienced kind challenge covid19 caused country kenyan
ID000384,2020-06-01,building homes north ltlt tharrisonnhc blogged devoconnect role housing
ID000385,2020-06-01,virtual reality solitude longer solitary touch alien
ID000386,2020-06-01,public enquiry vaccine investigatio
